time,aceptados,rechazados_lleno,rechazados_tasa,ocupacion_buffer
53259,6938,23228,229,150
53310,6943,23258,229,150
53360,6948,23280,229,150
53410,6954,23304,229,150
53460,6962,23332,229,150
53514,6969,23363,229,150
53564,6977,23382,229,150
53614,6985,23400,229,149
53664,6994,23422,229,150
53715,7001,23449,229,150
53765,7009,23460,229,150
53816,7016,23485,229,150
53868,7023,23509,229,150
53918,7031,23531,229,150
53970,7041,23546,229,150
54021,7045,23567,229,150
54072,7052,23589,229,150
54122,7058,23619,229,150
54175,7063,23642,229,150
54225,7068,23715,229,150
54275,7075,23730,229,150
54325,7081,23754,229,150
54378,7087,23788,229,150
54436,7094,23810,229,150
54486,7099,23830,229,150
54537,7105,23854,229,150
54587,7111,23876,229,150
54638,7118,23897,229,149
54692,7127,23925,229,150
54744,7134,23956,229,150
54794,7140,23980,229,150
54846,7148,24002,229,150
54903,7154,24016,229,150
54965,7163,24034,229,150
55017,7168,24056,229,150
55068,7180,24077,229,150
